time;temp;air-pressure;humidity;product;station
1637781883.255885;35;1317;71.46;cri3;stat010
1637781903.272959;30;1317;71.92;cri3;stat010
1637781953.3441432;30;1339;70.87;cri3;stat010
1637781873.2373867;33;1324;71.88;cri3;stat010
1637781893.267502;33;1346;70.37;cri3;stat010
1637781913.290551;29;1349;70.33;cri3;stat010
1637781923.305013;35;1337;70.81;cri3;stat010
1637781933.3211677;32;1316;70.63;cri3;stat010
1637781943.3286574;29;1319;70.2;cri3;stat010
1637781963.352171;30;1340;70.29;cri3;stat010
